$p_{\max}$,"$u_{S,\max}$",value,fp_num,name,stability
0.08071428571428571,0.05028571428571429,,2,C,False
0.08071428571428571,0.05028571428571429,,3,H,False
0.08071428571428571,0.05028571428571429,,3,S,False
0.08071428571428571,0.05028571428571429,,3,N,False
0.08071428571428571,0.05028571428571429,,3,C,False
0.08071428571428571,0.055214285714285716,17.1428571428571,0,H,False
0.08071428571428571,0.055214285714285716,0.0,0,S,False
0.08071428571428571,0.055214285714285716,0.0180900000000000,0,N,False
0.08071428571428571,0.055214285714285716,0.150000000000000,0,C,False
0.08071428571428571,0.055214285714285716,17.1428571428571,1,H,True
0.08071428571428571,0.055214285714285716,26.3054187192120,1,S,True
0.08071428571428571,0.055214285714285716,0.0180900000000000,1,N,True
0.08071428571428571,0.055214285714285716,0.0579310344827584,1,C,True
0.08071428571428571,0.055214285714285716,,2,H,False
0.08071428571428571,0.055214285714285716,,2,S,False
0.08071428571428571,0.055214285714285716,,2,N,False
0.08071428571428571,0.055214285714285716,,2,C,False
0.08071428571428571,0.055214285714285716,,3,H,False
0.08071428571428571,0.055214285714285716,,3,S,False
0.08071428571428571,0.055214285714285716,,3,N,False
0.08071428571428571,0.055214285714285716,,3,C,False
0.08071428571428571,0.06014285714285715,17.1428571428571,0,H,False
0.08071428571428571,0.06014285714285715,0.0,0,S,False
0.08071428571428571,0.06014285714285715,0.0180900000000000,0,N,False
0.08071428571428571,0.06014285714285715,0.150000000000000,0,C,False
0.08071428571428571,0.06014285714285715,17.1428571428571,1,H,True
0.08071428571428571,0.06014285714285715,26.3054187192120,1,S,True
0.08071428571428571,0.06014285714285715,0.0180900000000000,1,N,True
0.08071428571428571,0.06014285714285715,0.0579310344827584,1,C,True
0.08071428571428571,0.06014285714285715,,2,H,False
0.08071428571428571,0.06014285714285715,,2,S,False
0.08071428571428571,0.06014285714285715,,2,N,False
0.08071428571428571,0.06014285714285715,,2,C,False
0.08071428571428571,0.06014285714285715,,3,H,False
0.08071428571428571,0.06014285714285715,,3,S,False
0.08071428571428571,0.06014285714285715,,3,N,False
0.08071428571428571,0.06014285714285715,,3,C,False
0.08071428571428571,0.06507142857142857,17.1428571428571,0,H,False
0.08071428571428571,0.06507142857142857,0.0,0,S,False
0.08071428571428571,0.06507142857142857,0.0180900000000000,0,N,False
0.08071428571428571,0.06507142857142857,0.150000000000000,0,C,False
0.08071428571428571,0.06507142857142857,17.1428571428571,1,H,True
0.08071428571428571,0.06507142857142857,26.3054187192120,1,S,True
0.08071428571428571,0.06507142857142857,0.0180900000000000,1,N,True
0.08071428571428571,0.06507142857142857,0.0579310344827584,1,C,True
0.08071428571428571,0.06507142857142857,,2,H,False
0.08071428571428571,0.06507142857142857,,2,S,False
0.08071428571428571,0.06507142857142857,,2,N,False
0.08071428571428571,0.06507142857142857,,2,C,False
0.08071428571428571,0.06507142857142857,,3,H,False
0.08071428571428571,0.06507142857142857,,3,S,False
0.08071428571428571,0.06507142857142857,,3,N,False
0.08071428571428571,0.06507142857142857,,3,C,False
0.08071428571428571,0.07,17.1428571428571,0,H,False
0.08071428571428571,0.07,0.0,0,S,False
0.08071428571428571,0.07,0.0180900000000000,0,N,False
0.08071428571428571,0.07,0.150000000000000,0,C,False
0.08071428571428571,0.07,17.1428571428571,1,H,True
0.08071428571428571,0.07,26.3054187192120,1,S,True
0.08071428571428571,0.07,0.0180900000000000,1,N,True
0.08071428571428571,0.07,0.0579310344827584,1,C,True
0.08071428571428571,0.07,,2,H,False
0.08071428571428571,0.07,,2,S,False
0.08071428571428571,0.07,,2,N,False
0.08071428571428571,0.07,,2,C,False
