$\epsilon$,$N_I$,value,fp_num,name,stability
1.0,0.0,17.1428571428571,0,H,False
1.0,0.0,0.0,0,S,False
1.0,0.0,0.0180000000000000,0,N,False
1.0,0.0,0.150000000000000,0,C,False
1.0,0.0,17.1428571428571,1,H,True
1.0,0.0,42.0779220779221,1,S,True
1.0,0.0,0.0180000000000000,1,N,True
1.0,0.0,0.00272727272727273,1,C,True
1.0,0.0,104.415584415584,2,H,False
1.0,0.0,70.9916779146289,2,S,False
1.0,0.0,0.00272727272727273,2,N,False
1.0,0.0,0.00738809281296426,2,C,False
1.0,0.0,104.415584415584,3,H,True
1.0,0.0,20.1921795502203,3,S,True
1.0,0.0,0.00272727272727273,3,N,True
1.0,0.0,0.0365788493357961,3,C,True
1.0,0.000125,17.1428571428571,0,H,False
1.0,0.000125,0.0,0,S,False
1.0,0.000125,0.0181250000000000,0,N,False
1.0,0.000125,0.150000000000000,0,C,False
1.0,0.000125,17.1428571428571,1,H,True
1.0,0.000125,42.0779220779221,1,S,True
1.0,0.000125,0.0181250000000000,1,N,True
1.0,0.000125,0.00272727272727273,1,C,True
1.0,0.000125,105.129870129870,2,H,False
1.0,0.000125,69.6780466001467,2,S,False
1.0,0.000125,0.00272727272727273,2,N,False
1.0,0.000125,0.00758164416995765,2,C,False
1.0,0.000125,105.129870129870,3,H,True
1.0,0.000125,20.7689987500495,3,S,True
1.0,0.000125,0.00272727272727273,3,N,True
1.0,0.000125,0.0354951464636512,3,C,True
1.0,0.00025,17.1428571428571,0,H,False
1.0,0.00025,0.0,0,S,False
1.0,0.00025,0.0182500000000000,0,N,False
1.0,0.00025,0.150000000000000,0,C,False
1.0,0.00025,17.1428571428571,1,H,True
1.0,0.00025,42.0779220779221,1,S,True
1.0,0.00025,0.0182500000000000,1,N,True
1.0,0.00025,0.00272727272727273,1,C,True
1.0,0.00025,105.844155844156,2,H,False
1.0,0.00025,68.3121662107274,2,S,False
1.0,0.00025,0.00272727272727273,2,N,False
1.0,0.00025,0.00779095422759805,2,C,False
1.0,0.00025,105.844155844156,3,H,True
1.0,0.00025,21.3795785688273,3,S,True
1.0,0.00025,0.00272727272727273,3,N,True
1.0,0.00025,0.0343956848908593,3,C,True
1.0,0.000375,17.1428571428571,0,H,False
1.0,0.000375,0.0,0,S,False
1.0,0.000375,0.0183750000000000,0,N,False
1.0,0.000375,0.150000000000000,0,C,False
1.0,0.000375,17.1428571428571,1,H,True
1.0,0.000375,42.0779220779221,1,S,True
1.0,0.000375,0.0183750000000000,1,N,True
1.0,0.000375,0.00272727272727273,1,C,True
1.0,0.000375,106.558441558442,2,H,False
1.0,0.000375,66.8891240830062,2,S,False
1.0,0.000375,0.00272727272727273,2,N,False
1.0,0.000375,0.00801847226305052,2,C,False
1.0,0.000375,106.558441558442,3,H,True
1.0,0.000375,22.0288316699186,3,S,True
1.0,0.000375,0.00272727272727273,3,N,True
1.0,0.000375,0.0332780153402553,3,C,True
1.0,0.0005,17.1428571428571,0,H,False
1.0,0.0005,0.0,0,S,False
1.0,0.0005,0.0185000000000000,0,N,False
1.0,0.0005,0.150000000000000,0,C,False
1.0,0.0005,17.1428571428571,1,H,True
1.0,0.0005,42.0779220779221,1,S,True
1.0,0.0005,0.0185000000000000,1,N,True
1.0,0.0005,0.00272727272727273,1,C,True
1.0,0.0005,107.272727272727,2,H,False
1.0,0.0005,65.4027673943754,2,S,False
1.0,0.0005,0.00272727272727273,2,N,False
1.0,0.0005,0.00826727596688506,2,C,False
1.0,0.0005,107.272727272727,3,H,True
1.0,0.0005,22.7229108759310,3,S,True
1.0,0.0005,0.00272727272727273,3,N,True
1.0,0.0005,0.0321390601212692,3,C,True
1.0,0.000625,17.1428571428571,0,H,False
1.0,0.000625,0.0,0,S,False
1.0,0.000625,0.0186250000000000,0,N,False
1.0,0.000625,0.150000000000000,0,C,False
1.0,0.000625,17.1428571428571,1,H,True
1.0,0.000625,42.0779220779221,1,S,True
1.0,0.000625,0.0186250000000000,1,N,True
1.0,0.000625,0.00272727272727273,1,C,True
1.0,0.000625,107.987012987013,2,H,False
1.0,0.000625,63.8452276005835,2,S,False
1.0,0.000625,0.00272727272727273,2,N,False
1.0,0.000625,0.00854131489281892,2,C,False
1.0,0.000625,107.987012987013,3,H,True
1.0,0.000625,23.4696847311161,3,S,True
1.0,0.000625,0.00272727272727273,3,N,True
1.0,0.000625,0.0309748696801838,3,C,True
1.0,0.00075,17.1428571428571,0,H,False
1.0,0.00075,0.0,0,S,False
1.0,0.00075,0.0187500000000000,0,N,False
1.0,0.00075,0.150000000000000,0,C,False
1.0,0.00075,17.1428571428571,1,H,True
1.0,0.00075,42.0779220779221,1,S,True
1.0,0.00075,0.0187500000000000,1,N,True
1.0,0.00075,0.00272727272727273,1,C,True
1.0,0.00075,108.701298701299,2,H,False
1.0,0.00075,62.2061830187206,2,S,False
1.0,0.00075,0.00272727272727273,2,N,False
1.0,0.00075,0.00884578884532007,2,C,False
1.0,0.00075,108.701298701299,3,H,True
1.0,0.00075,24.2794749183836,3,S,True
1.0,0.00075,0.00272727272727273,3,N,True
1.0,0.00075,0.0297802442125312,3,C,True
1.0,0.000875,17.1428571428571,0,H,False
1.0,0.000875,0.0,0,S,False
1.0,0.000875,0.0188750000000000,0,N,False
1.0,0.000875,0.150000000000000,0,C,False
1.0,0.000875,17.1428571428571,1,H,True
1.0,0.000875,42.0779220779221,1,S,True
1.0,0.000875,0.0188750000000000,1,N,True
1.0,0.000875,0.00272727272727273,1,C,True
1.0,0.000875,109.415584415584,2,H,False
1.0,0.000875,60.4716588009634,2,S,False
1.0,0.000875,0.00272727272727273,2,N,False
1.0,0.000875,0.00918776512617615,2,C,False
1.0,0.000875,109.415584415584,3,H,True
1.0,0.000875,25.1662562855571,3,S,True
1.0,0.000875,0.00272727272727273,3,N,True
1.0,0.000875,0.0285481164165236,3,C,True
1.0,0.001,17.1428571428571,0,H,False
1.0,0.001,0.0,0,S,False
1.0,0.001,0.0190000000000000,0,N,False
1.0,0.001,0.150000000000000,0,C,False
1.0,0.001,17.1428571428571,1,H,True
1.0,0.001,42.0779220779221,1,S,True
1.0,0.001,0.0190000000000000,1,N,True
1.0,0.001,0.00272727272727273,1,C,True
1.0,0.001,110.129870129870,2,H,False
1.0,0.001,58.6219517523096,2,S,False
1.0,0.001,0.00272727272727273,2,N,False
1.0,0.001,0.00957724855575641,2,C,False
1.0,0.001,110.129870129870,3,H,True
1.0,0.001,26.1497320276386,3,S,True
1.0,0.001,0.00272727272727273,3,N,True
1.0,0.001,0.0272684814717918,3,C,True
1.0,0.0011250000000000001,17.1428571428571,0,H,False
1.0,0.0011250000000000001,0.0,0,S,False
1.0,0.0011250000000000001,0.0191250000000000,0,N,False
1.0,0.0011250000000000001,0.150000000000000,0,C,False
1.0,0.0011250000000000001,17.1428571428571,1,H,True
1.0,0.0011250000000000001,42.0779220779221,1,S,True
1.0,0.0011250000000000001,0.0191250000000000,1,N,True
1.0,0.0011250000000000001,0.00272727272727273,1,C,True
1.0,0.0011250000000000001,110.844155844156,2,H,False
1.0,0.0011250000000000001,56.6277466922223,2,S,False
1.0,0.0011250000000000001,0.00272727272727273,2,N,False
1.0,0.0011250000000000001,0.0100291890408613,2,C,False
1.0,0.0011250000000000001,110.844155844156,3,H,True
1.0,0.0011250000000000001,27.2592173251653,3,S,True
1.0,0.0011250000000000001,0.00272727272727273,3,N,True
1.0,0.0011250000000000001,0.0259263894715354,3,C,True
1.0,0.00125,17.1428571428571,0,H,False
1.0,0.00125,0.0,0,S,False
1.0,0.00125,0.0192500000000000,0,N,False
1.0,0.00125,0.150000000000000,0,C,False
1.0,0.00125,17.1428571428571,1,H,True
1.0,0.00125,42.0779220779221,1,S,True
1.0,0.00125,0.0192500000000000,1,N,True
1.0,0.00125,0.00272727272727273,1,C,True
1.0,0.00125,111.558441558442,2,H,False
1.0,0.00125,54.4420230777293,2,S,False
1.0,0.00125,0.00272727272727273,2,N,False
1.0,0.00125,0.0105676761617434,2,C,False
1.0,0.00125,111.558441558442,3,H,True
1.0,0.00125,28.5417327211092,3,S,True
1.0,0.00125,0.00272727272727273,3,N,True
1.0,0.00125,0.0244977508355018,3,C,True
1.0,0.001375,17.1428571428571,0,H,False
1.0,0.001375,0.0,0,S,False
1.0,0.001375,0.0193750000000000,0,N,False
1.0,0.001375,0.150000000000000,0,C,False
1.0,0.001375,17.1428571428571,1,H,True
1.0,0.001375,42.0779220779221,1,S,True
1.0,0.001375,0.0193750000000000,1,N,True
1.0,0.001375,0.00272727272727273,1,C,True
1.0,0.001375,112.272727272727,2,H,False
1.0,0.001375,51.9803277460102,2,S,False
1.0,0.001375,0.00272727272727273,2,N,False
1.0,0.001375,0.0112361909383364,2,C,False
1.0,0.001375,112.272727272727,3,H,True
1.0,0.001375,30.0817313782907,3,S,True
1.0,0.001375,0.00272727272727273,3,N,True
1.0,0.001375,0.0229390845437573,3,C,True
1.0,0.0015,17.1428571428571,0,H,False
1.0,0.0015,0.0,0,S,False
1.0,0.0015,0.0195000000000000,0,N,False
1.0,0.0015,0.150000000000000,0,C,False
1.0,0.0015,17.1428571428571,1,H,True
1.0,0.0015,42.0779220779221,1,S,True
1.0,0.0015,0.0195000000000000,1,N,True
1.0,0.0015,0.00272727272727273,1,C,True
1.0,0.0015,112.987012987013,2,H,False
1.0,0.0015,49.0586360705241,2,S,False
1.0,0.0015,0.00272727272727273,2,N,False
1.0,0.0015,0.0121299907512640,2,C,False
1.0,0.0015,112.987012987013,3,H,True
1.0,0.0015,32.0632379232507,3,S,True
1.0,0.0015,0.00272727272727273,3,N,True
1.0,0.0015,0.0211551332156781,3,C,True
1.0,0.0016250000000000001,17.1428571428571,0,H,False
1.0,0.0016250000000000001,0.0,0,S,False
1.0,0.0016250000000000001,0.0196250000000000,0,N,False
1.0,0.0016250000000000001,0.150000000000000,0,C,False
1.0,0.0016250000000000001,17.1428571428571,1,H,True
1.0,0.0016250000000000001,42.0779220779221,1,S,True
1.0,0.0016250000000000001,0.0196250000000000,1,N,True
1.0,0.0016250000000000001,0.00272727272727273,1,C,True
1.0,0.0016250000000000001,113.701298701299,2,H,False
1.0,0.0016250000000000001,45.0534066072406,2,S,False
1.0,0.0016250000000000001,0.00272727272727273,2,N,False
1.0,0.0016250000000000001,0.0135738716531163,2,C,False
1.0,0.0016250000000000001,113.701298701299,3,H,True
1.0,0.0016250000000000001,35.1097938000198,3,S,True
1.0,0.0016250000000000001,0.00272727272727273,3,N,True
1.0,0.0016250000000000001,0.0188211007986743,3,C,True
1.0,0.00175,17.1428571428571,0,H,False
1.0,0.00175,0.0,0,S,False
1.0,0.00175,0.0197500000000000,0,N,False
1.0,0.00175,0.150000000000000,0,C,False
1.0,0.00175,17.1428571428571,1,H,True
1.0,0.00175,42.0779220779221,1,S,True
1.0,0.00175,0.0197500000000000,1,N,True
1.0,0.00175,0.00272727272727273,1,C,True
1.0,0.00175,,2,H,False
1.0,0.00175,,2,S,False
1.0,0.00175,,2,N,False
1.0,0.00175,,2,C,False
1.0,0.00175,,3,H,False
1.0,0.00175,,3,S,False
1.0,0.00175,,3,N,False
1.0,0.00175,,3,C,False
1.0357142857142858,0.0,15.3061224489796,0,H,False
1.0357142857142858,0.0,0.0,0,S,False
1.0357142857142858,0.0,0.0183214285714286,0,N,False
1.0357142857142858,0.0,0.151071428571428,0,C,False
1.0357142857142858,0.0,15.3061224489796,1,H,True
1.0357142857142858,0.0,37.1650822977472,1,S,True
1.0357142857142858,0.0,0.0183214285714286,1,N,True
1.0357142857142858,0.0,0.00278275020341741,1,C,True
1.0357142857142858,0.0,104.415584415584,2,H,False
1.0357142857142858,0.0,66.9667304208294,2,S,False
1.0357142857142858,0.0,0.00272727272727273,2,N,False
1.0357142857142858,0.0,0.00794234858999777,2,C,False
1.0357142857142858,0.0,104.415584415584,3,H,True
1.0357142857142858,0.0,21.1870258572431,3,S,True
1.0357142857142858,0.0,0.00272727272727273,3,N,True
1.0357142857142858,0.0,0.0347183511659013,3,C,True
1.0357142857142858,0.000125,15.3061224489796,0,H,False
1.0357142857142858,0.000125,0.0,0,S,False
1.0357142857142858,0.000125,0.0184464285714286,0,N,False
1.0357142857142858,0.000125,0.151071428571428,0,C,False
1.0357142857142858,0.000125,15.3061224489796,1,H,True
1.0357142857142858,0.000125,37.1650822977472,1,S,True
1.0357142857142858,0.000125,0.0184464285714286,1,N,True
1.0357142857142858,0.000125,0.00278275020341741,1,C,True
1.0357142857142858,0.000125,105.129870129870,2,H,False
1.0357142857142858,0.000125,65.5931004003481,2,S,False
1.0357142857142858,0.000125,0.00272727272727273,2,N,False
1.0357142857142858,0.000125,0.00817309647067734,2,C,False
1.0357142857142858,0.000125,105.129870129870,3,H,True
1.0357142857142858,0.000125,21.8289749131840,3,S,True
1.0357142857142858,0.000125,0.00272727272727273,3,N,True
1.0357142857142858,0.000125,0.0335962959893172,3,C,True
1.0357142857142858,0.00025,15.3061224489796,0,H,False
1.0357142857142858,0.00025,0.0,0,S,False
1.0357142857142858,0.00025,0.0185714285714286,0,N,False
1.0357142857142858,0.00025,0.151071428571428,0,C,False
1.0357142857142858,0.00025,15.3061224489796,1,H,True
1.0357142857142858,0.00025,37.1650822977472,1,S,True
1.0357142857142858,0.00025,0.0185714285714286,1,N,True
1.0357142857142858,0.00025,0.00278275020341741,1,C,True
1.0357142857142858,0.00025,105.844155844156,2,H,False
1.0357142857142858,0.00025,64.1572617800694,2,S,False
1.0357142857142858,0.00025,0.00272727272727273,2,N,False
1.0357142857142858,0.00025,0.00842537649945584,2,C,False
1.0357142857142858,0.00025,105.844155844156,3,H,True
1.0357142857142858,0.00025,22.5149955076179,3,S,True
1.0357142857142858,0.00025,0.00272727272727273,3,N,True
1.0357142857142858,0.00025,0.0324527086646341,3,C,True
1.0357142857142858,0.000375,15.3061224489796,0,H,False
1.0357142857142858,0.000375,0.0,0,S,False
1.0357142857142858,0.000375,0.0186964285714286,0,N,False
1.0357142857142858,0.000375,0.151071428571428,0,C,False
1.0357142857142858,0.000375,15.3061224489796,1,H,True
1.0357142857142858,0.000375,37.1650822977472,1,S,True
1.0357142857142858,0.000375,0.0186964285714286,1,N,True
1.0357142857142858,0.000375,0.00278275020341741,1,C,True
1.0357142857142858,0.000375,106.558441558442,2,H,False
1.0357142857142858,0.000375,62.6514928798076,2,S,False
1.0357142857142858,0.000375,0.00272727272727273,2,N,False
1.0357142857142858,0.000375,0.00870318116830604,2,C,False
1.0357142857142858,0.000375,106.558441558442,3,H,True
1.0357142857142858,0.000375,23.2528093207306,3,S,True
1.0357142857142858,0.000375,0.00272727272727273,3,N,True
1.0357142857142858,0.000375,0.0312835966998794,3,C,True
1.0357142857142858,0.0005,15.3061224489796,0,H,False
1.0357142857142858,0.0005,0.0,0,S,False
1.0357142857142858,0.0005,0.0188214285714286,0,N,False
1.0357142857142858,0.0005,0.151071428571428,0,C,False
1.0357142857142858,0.0005,15.3061224489796,1,H,True
1.0357142857142858,0.0005,37.1650822977472,1,S,True
1.0357142857142858,0.0005,0.0188214285714286,1,N,True
1.0357142857142858,0.0005,0.00278275020341741,1,C,True
1.0357142857142858,0.0005,107.272727272727,2,H,False
1.0357142857142858,0.0005,61.0656646723720,2,S,False
1.0357142857142858,0.0005,0.00272727272727273,2,N,False
1.0357142857142858,0.0005,0.00901176715819070,2,C,False
1.0357142857142858,0.0005,107.272727272727,3,H,True
1.0357142857142858,0.0005,24.0525453797127,3,S,True
1.0357142857142858,0.0005,0.00272727272727273,3,N,True
1.0357142857142858,0.0005,0.0300837034140902,3,C,True
1.0357142857142858,0.000625,15.3061224489796,0,H,False
1.0357142857142858,0.000625,0.0,0,S,False
1.0357142857142858,0.000625,0.0189464285714286,0,N,False
1.0357142857142858,0.000625,0.151071428571428,0,C,False
1.0357142857142858,0.000625,15.3061224489796,1,H,True
1.0357142857142858,0.000625,37.1650822977472,1,S,True
1.0357142857142858,0.000625,0.0189464285714286,1,N,True
1.0357142857142858,0.000625,0.00278275020341741,1,C,True
1.0357142857142858,0.000625,107.987012987013,2,H,False
1.0357142857142858,0.000625,59.3860624484505,2,S,False
1.0357142857142858,0.000625,0.00272727272727273,2,N,False
1.0357142857142858,0.000625,0.00935827992943083,2,C,False
1.0357142857142858,0.000625,107.987012987013,3,H,True
1.0357142857142858,0.000625,24.9279183938763,3,S,True
1.0357142857142858,0.000625,0.00272727272727273,3,N,True
1.0357142857142858,0.000625,0.0288458833469456,3,C,True
1.0357142857142858,0.00075,15.3061224489796,0,H,False
1.0357142857142858,0.00075,0.0,0,S,False
1.0357142857142858,0.00075,0.0190714285714286,0,N,False
1.0357142857142858,0.00075,0.151071428571428,0,C,False
1.0357142857142858,0.00075,15.3061224489796,1,H,True
1.0357142857142858,0.00075,37.1650822977472,1,S,True
1.0357142857142858,0.00075,0.0190714285714286,1,N,True
1.0357142857142858,0.00075,0.00278275020341741,1,C,True
1.0357142857142858,0.00075,108.701298701299,2,H,False
1.0357142857142858,0.00075,57.5933473211788,2,S,False
1.0357142857142858,0.00075,0.00272727272727273,2,N,False
1.0357142857142858,0.00075,0.00975283694875952,2,C,False
1.0357142857142858,0.00075,108.701298701299,3,H,True
1.0357142857142858,0.00075,25.8982672500857,3,S,True
1.0357142857142858,0.00075,0.00272727272727273,3,N,True
1.0357142857142858,0.00075,0.0275600190317123,3,C,True
1.0357142857142858,0.000875,15.3061224489796,0,H,False
1.0357142857142858,0.000875,0.0,0,S,False
1.0357142857142858,0.000875,0.0191964285714286,0,N,False
1.0357142857142858,0.000875,0.151071428571428,0,C,False
1.0357142857142858,0.000875,15.3061224489796,1,H,True
1.0357142857142858,0.000875,37.1650822977472,1,S,True
1.0357142857142858,0.000875,0.0191964285714286,1,N,True
1.0357142857142858,0.000875,0.00278275020341741,1,C,True
1.0357142857142858,0.000875,109.415584415584,2,H,False
1.0357142857142858,0.000875,55.6587390917078,2,S,False
1.0357142857142858,0.000875,0.00272727272727273,2,N,False
1.0357142857142858,0.000875,0.0102105612528715,2,C,False
1.0357142857142858,0.000875,109.415584415584,3,H,True
1.0357142857142858,0.000875,26.9923721471901,3,S,True
1.0357142857142858,0.000875,0.00272727272727273,3,N,True
1.0357142857142858,0.000875,0.0262109874316958,3,C,True
1.0357142857142858,0.001,15.3061224489796,0,H,False
1.0357142857142858,0.001,0.0,0,S,False
