$\epsilon$,$C_I$,value,fp_num,name,stability
1.0,0.07,17.1428571428571,0,H,False
1.0,0.07,0.0,0,S,False
1.0,0.07,0.0180900000000000,0,N,False
1.0,0.07,0.130000000000000,0,C,False
1.0,0.07,17.1428571428571,1,H,True
1.0,0.07,36.3636363636364,1,S,True
1.0,0.07,0.0180900000000000,1,N,True
1.0,0.07,0.00272727272727273,1,C,True
1.0,0.07,,2,H,False
1.0,0.07,,2,S,False
1.0,0.07,,2,N,False
1.0,0.07,,2,C,False
1.0,0.07,,3,H,False
1.0,0.07,,3,S,False
1.0,0.07,,3,N,False
1.0,0.07,,3,C,False
1.0,0.07571428571428572,17.1428571428571,0,H,False
1.0,0.07571428571428572,0.0,0,S,False
1.0,0.07571428571428572,0.0180900000000000,0,N,False
1.0,0.07571428571428572,0.135714285714286,0,C,False
1.0,0.07571428571428572,17.1428571428571,1,H,True
1.0,0.07571428571428572,37.9962894248609,1,S,True
1.0,0.07571428571428572,0.0180900000000000,1,N,True
1.0,0.07571428571428572,0.00272727272727273,1,C,True
1.0,0.07571428571428572,,2,H,False
1.0,0.07571428571428572,,2,S,False
1.0,0.07571428571428572,,2,N,False
1.0,0.07571428571428572,,2,C,False
1.0,0.07571428571428572,,3,H,False
1.0,0.07571428571428572,,3,S,False
1.0,0.07571428571428572,,3,N,False
1.0,0.07571428571428572,,3,C,False
1.0,0.08142857142857143,17.1428571428571,0,H,False
1.0,0.08142857142857143,0.0,0,S,False
1.0,0.08142857142857143,0.0180900000000000,0,N,False
1.0,0.08142857142857143,0.141428571428571,0,C,False
1.0,0.08142857142857143,17.1428571428571,1,H,True
1.0,0.08142857142857143,39.6289424860853,1,S,True
1.0,0.08142857142857143,0.0180900000000000,1,N,True
1.0,0.08142857142857143,0.00272727272727273,1,C,True
1.0,0.08142857142857143,104.929870129870,2,H,False
1.0,0.08142857142857143,50.9100285508151,2,S,False
1.0,0.08142857142857143,0.00272727272727273,2,N,False
1.0,0.08142857142857143,0.00989950145939626,2,C,False
1.0,0.08142857142857143,104.929870129870,3,H,True
1.0,0.08142857142857143,24.7552063807232,3,S,True
1.0,0.08142857142857143,0.00272727272727273,3,N,True
1.0,0.08142857142857143,0.0248551030270264,3,C,True
1.0,0.08714285714285715,17.1428571428571,0,H,False
1.0,0.08714285714285715,0.0,0,S,False
1.0,0.08714285714285715,0.0180900000000000,0,N,False
1.0,0.08714285714285715,0.147142857142857,0,C,False
1.0,0.08714285714285715,17.1428571428571,1,H,True
1.0,0.08714285714285715,41.2615955473099,1,S,True
1.0,0.08714285714285715,0.0180900000000000,1,N,True
1.0,0.08714285714285715,0.00272727272727273,1,C,True
1.0,0.08714285714285715,104.929870129870,2,H,False
1.0,0.08714285714285715,64.0900036962870,2,S,False
1.0,0.08714285714285715,0.00272727272727273,2,N,False
1.0,0.08714285714285715,0.00807733918466274,2,C,False
1.0,0.08714285714285715,104.929870129870,3,H,True
1.0,0.08714285714285715,21.5685522000009,3,S,True
1.0,0.08714285714285715,0.00272727272727273,3,N,True
1.0,0.08714285714285715,0.0323915510160457,3,C,True
1.0,0.09285714285714286,17.1428571428571,0,H,False
1.0,0.09285714285714286,0.0,0,S,False
1.0,0.09285714285714286,0.0180900000000000,0,N,False
1.0,0.09285714285714286,0.152857142857143,0,C,False
1.0,0.09285714285714286,17.1428571428571,1,H,True
1.0,0.09285714285714286,42.8942486085343,1,S,True
1.0,0.09285714285714286,0.0180900000000000,1,N,True
1.0,0.09285714285714286,0.00272727272727273,1,C,True
1.0,0.09285714285714286,104.929870129870,2,H,False
1.0,0.09285714285714286,75.8072084149290,2,S,False
1.0,0.09285714285714286,0.00272727272727273,2,N,False
1.0,0.09285714285714286,0.00709160437811488,2,C,False
1.0,0.09285714285714286,104.929870129870,3,H,True
1.0,0.09285714285714286,19.8446684461083,3,S,True
1.0,0.09285714285714286,0.00272727272727273,3,N,True
1.0,0.09285714285714286,0.0390915715368792,3,C,True
1.0,0.09857142857142857,17.1428571428571,0,H,False
1.0,0.09857142857142857,0.0,0,S,False
1.0,0.09857142857142857,0.0180900000000000,0,N,False
1.0,0.09857142857142857,0.158571428571429,0,C,False
1.0,0.09857142857142857,17.1428571428571,1,H,True
1.0,0.09857142857142857,44.5269016697588,1,S,True
1.0,0.09857142857142857,0.0180900000000000,1,N,True
1.0,0.09857142857142857,0.00272727272727273,1,C,True
1.0,0.09857142857142857,104.929870129870,2,H,False
1.0,0.09857142857142857,86.9373715560673,2,S,False
1.0,0.09857142857142857,0.00272727272727273,2,N,False
1.0,0.09857142857142857,0.00644154610110670,2,C,False
1.0,0.09857142857142857,104.929870129870,3,H,True
1.0,0.09857142857142857,18.7078262697197,3,S,True
1.0,0.09857142857142857,0.00272727272727273,3,N,True
1.0,0.09857142857142857,0.0454559155281731,3,C,True
1.0,0.10428571428571429,17.1428571428571,0,H,False
1.0,0.10428571428571429,0.0,0,S,False
1.0,0.10428571428571429,0.0180900000000000,0,N,False
1.0,0.10428571428571429,0.164285714285714,0,C,False
1.0,0.10428571428571429,17.1428571428571,1,H,True
1.0,0.10428571428571429,46.1595547309833,1,S,True
1.0,0.10428571428571429,0.0180900000000000,1,N,True
1.0,0.10428571428571429,0.00272727272727273,1,C,True
1.0,0.10428571428571429,104.929870129870,2,H,False
1.0,0.10428571428571429,97.7519175462435,2,S,False
1.0,0.10428571428571429,0.00272727272727273,2,N,False
1.0,0.10428571428571429,0.00597196102047501,2,C,False
1.0,0.10428571428571429,104.929870129870,3,H,True
1.0,0.10428571428571429,17.8866012442929,3,S,True
1.0,0.10428571428571429,0.00272727272727273,3,N,True
1.0,0.10428571428571429,0.0516397863230904,3,C,True
1.0,0.11,17.1428571428571,0,H,False
1.0,0.11,0.0,0,S,False
1.0,0.11,0.0180900000000000,0,N,False
1.0,0.11,0.170000000000000,0,C,False
1.0,0.11,17.1428571428571,1,H,True
1.0,0.11,47.7922077922078,1,S,True
1.0,0.11,0.0180900000000000,1,N,True
1.0,0.11,0.00272727272727273,1,C,True
1.0,0.11,104.929870129870,2,H,False
1.0,0.11,108.371928191170,2,S,False
1.0,0.11,0.00272727272727273,2,N,False
1.0,0.11,0.00561361329009025,2,C,False
1.0,0.11,104.929870129870,3,H,True
1.0,0.11,17.2599115641161,3,S,True
1.0,0.11,0.00272727272727273,3,N,True
1.0,0.11,0.0577124197677610,3,C,True
1.0,0.11571428571428571,17.1428571428571,0,H,False
1.0,0.11571428571428571,0.0,0,S,False
1.0,0.11571428571428571,0.0180900000000000,0,N,False
1.0,0.11571428571428571,0.175714285714286,0,C,False
1.0,0.11571428571428571,17.1428571428571,1,H,True
1.0,0.11571428571428571,49.4248608534323,1,S,True
1.0,0.11571428571428571,0.0180900000000000,1,N,True
1.0,0.11571428571428571,0.00272727272727273,1,C,True
1.0,0.11571428571428571,104.929870129870,2,H,False
