$\epsilon$,"$u_{S,\max}$",value,fp_num,name,stability
1.0,0.055214285714285716,110.373440643863,3,H,True
1.0,0.055214285714285716,26.5120303832417,3,S,True
1.0,0.055214285714285716,0.00177464788732394,3,N,True
1.0,0.055214285714285716,0.0268188065568082,3,C,True
1.0,0.06014285714285715,17.1428571428571,0,H,False
1.0,0.06014285714285715,0.0,0,S,False
1.0,0.06014285714285715,0.0180900000000000,0,N,False
1.0,0.06014285714285715,0.150000000000000,0,C,False
1.0,0.06014285714285715,17.1428571428571,1,H,True
1.0,0.06014285714285715,42.0779220779221,1,S,True
1.0,0.06014285714285715,0.0180900000000000,1,N,True
1.0,0.06014285714285715,0.00272727272727273,1,C,True
1.0,0.06014285714285715,111.271666972309,2,H,False
1.0,0.06014285714285715,55.3467516528987,2,S,False
1.0,0.06014285714285715,0.00161745827984596,2,N,False
1.0,0.06014285714285715,0.0103389341434277,2,C,False
1.0,0.06014285714285715,111.271666972309,3,H,True
1.0,0.06014285714285715,28.0018495130460,3,S,True
1.0,0.06014285714285715,0.00161745827984596,3,N,True
1.0,0.06014285714285715,0.0250838748191117,3,C,True
1.0,0.06507142857142857,17.1428571428571,0,H,False
1.0,0.06507142857142857,0.0,0,S,False
1.0,0.06507142857142857,0.0180900000000000,0,N,False
1.0,0.06507142857142857,0.150000000000000,0,C,False
1.0,0.06507142857142857,17.1428571428571,1,H,True
1.0,0.06507142857142857,42.0779220779221,1,S,True
1.0,0.06507142857142857,0.0180900000000000,1,N,True
1.0,0.06507142857142857,0.00272727272727273,1,C,True
1.0,0.06507142857142857,112.023719676550,2,H,False
1.0,0.06507142857142857,52.8779081488035,2,S,False
1.0,0.06507142857142857,0.00148584905660377,2,N,False
1.0,0.06507142857142857,0.0109842075806758,2,C,False
1.0,0.06507142857142857,112.023719676550,3,H,True
1.0,0.06507142857142857,29.5075634291021,3,S,True
1.0,0.06507142857142857,0.00148584905660377,3,N,True
1.0,0.06507142857142857,0.0235013841860480,3,C,True
1.0,0.07,17.1428571428571,0,H,False
1.0,0.07,0.0,0,S,False
1.0,0.07,0.0180900000000000,0,N,False
1.0,0.07,0.150000000000000,0,C,False
1.0,0.07,17.1428571428571,1,H,True
1.0,0.07,42.0779220779221,1,S,True
1.0,0.07,0.0180900000000000,1,N,True
1.0,0.07,0.00272727272727273,1,C,True
1.0,0.07,112.662595419847,2,H,False
1.0,0.07,50.4629219678864,2,S,False
1.0,0.07,0.00137404580152672,2,N,False
1.0,0.07,0.0116855887901611,2,C,False
1.0,0.07,112.662595419847,3,H,True
1.0,0.07,31.0882612805999,3,S,True
1.0,0.07,0.00137404580152672,3,N,True
1.0,0.07,0.0220038282813170,3,C,True
1.0357142857142858,0.001,15.3061224489796,0,H,True
1.0357142857142858,0.001,0.0,0,S,True
1.0357142857142858,0.001,0.0184114285714286,0,N,True
1.0357142857142858,0.001,0.151071428571428,0,C,True
1.0357142857142858,0.001,,1,H,False
1.0357142857142858,0.001,,1,S,False
1.0357142857142858,0.001,,1,N,False
1.0357142857142858,0.001,,1,C,False
1.0357142857142858,0.001,,2,H,False
1.0357142857142858,0.001,,2,S,False
1.0357142857142858,0.001,,2,N,False
1.0357142857142858,0.001,,2,C,False
1.0357142857142858,0.001,,3,H,False
1.0357142857142858,0.001,,3,S,False
1.0357142857142858,0.001,,3,N,False
1.0357142857142858,0.001,,3,C,False
1.0357142857142858,0.005928571428571429,15.3061224489796,0,H,True
1.0357142857142858,0.005928571428571429,0.0,0,S,True
1.0357142857142858,0.005928571428571429,0.0184114285714286,0,N,True
1.0357142857142858,0.005928571428571429,0.151071428571428,0,C,True
1.0357142857142858,0.005928571428571429,,1,H,False
1.0357142857142858,0.005928571428571429,,1,S,False
1.0357142857142858,0.005928571428571429,,1,N,False
1.0357142857142858,0.005928571428571429,,1,C,False
1.0357142857142858,0.005928571428571429,,2,H,False
1.0357142857142858,0.005928571428571429,,2,S,False
1.0357142857142858,0.005928571428571429,,2,N,False
1.0357142857142858,0.005928571428571429,,2,C,False
1.0357142857142858,0.005928571428571429,,3,H,False
1.0357142857142858,0.005928571428571429,,3,S,False
1.0357142857142858,0.005928571428571429,,3,N,False
1.0357142857142858,0.005928571428571429,,3,C,False
1.0357142857142858,0.010857142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.010857142857142857,0.0,0,S,False
1.0357142857142858,0.010857142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.010857142857142857,0.151071428571428,0,C,False
