$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0,0.8572857142857143,17.1428571428571,1,H,True
1.0,0.8572857142857143,42.4271123966519,1,S,True
1.0,0.8572857142857143,0.0180900000000000,1,N,True
1.0,0.8572857142857143,0.00150510661171833,1,C,True
1.0,0.8572857142857143,104.929870129870,2,H,False
1.0,0.8572857142857143,76.9713814167303,2,S,False
1.0,0.8572857142857143,0.00272727272727273,2,N,False
1.0,0.8572857142857143,0.00356877519141104,2,C,False
1.0,0.8572857142857143,104.929870129870,3,H,True
1.0,0.8572857142857143,10.3485784073229,3,S,True
1.0,0.8572857142857143,0.00272727272727273,3,N,True
1.0,0.8572857142857143,0.0416643925367576,3,C,True
1.0,0.9286428571428571,17.1428571428571,0,H,False
1.0,0.9286428571428571,0.0,0,S,False
1.0,0.9286428571428571,0.0180900000000000,0,N,False
1.0,0.9286428571428571,0.150000000000000,0,C,False
1.0,0.9286428571428571,17.1428571428571,1,H,True
1.0,0.9286428571428571,42.4624384742797,1,S,True
1.0,0.9286428571428571,0.0180900000000000,1,N,True
1.0,0.9286428571428571,0.00138146534002138,1,C,True
1.0,0.9286428571428571,104.929870129870,2,H,False
1.0,0.9286428571428571,77.5556368316957,2,S,False
1.0,0.9286428571428571,0.00272727272727273,2,N,False
1.0,0.9286428571428571,0.00323469181882574,2,C,False
1.0,0.9286428571428571,104.929870129870,3,H,True
1.0,0.9286428571428571,9.42690947990668,3,S,True
1.0,0.9286428571428571,0.00272727272727273,3,N,True
1.0,0.9286428571428571,0.0421914124937682,3,C,True
1.0,1.0,17.1428571428571,0,H,False
1.0,1.0,0.0,0,S,False
1.0,1.0,0.0180900000000000,0,N,False
1.0,1.0,0.150000000000000,0,C,False
1.0,1.0,17.1428571428571,1,H,True
1.0,1.0,42.4924012158055,1,S,True
1.0,1.0,0.0180900000000000,1,N,True
1.0,1.0,0.00127659574468085,1,C,True
1.0,1.0,104.929870129870,2,H,False
1.0,1.0,78.0390241483471,2,S,False
1.0,1.0,0.00272727272727273,2,N,False
1.0,1.0,0.00295828588252569,2,C,False
1.0,1.0,104.929870129870,3,H,True
1.0,1.0,8.65733602146373,3,S,True
1.0,1.0,0.00272727272727273,3,N,True
1.0,1.0,0.0426314626667973,3,C,True
1.0357142857142858,0.001,15.3061224489796,0,H,True
1.0357142857142858,0.001,0.0,0,S,True
1.0357142857142858,0.001,0.0184114285714286,0,N,True
1.0357142857142858,0.001,0.151071428571428,0,C,True
1.0357142857142858,0.001,,1,H,False
1.0357142857142858,0.001,,1,S,False
1.0357142857142858,0.001,,1,N,False
