$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0,0.001,,0,H,False
1.0,0.001,,0,S,False
1.0,0.001,,0,N,False
1.0,0.001,,0,C,False
1.0,0.001,,1,H,False
1.0,0.001,,1,S,False
1.0,0.001,,1,N,False
1.0,0.001,,1,C,False
1.0,0.001,,2,H,False
1.0,0.001,,2,S,False
1.0,0.001,,2,N,False
1.0,0.001,,2,C,False
1.0,0.001,,3,H,False
1.0,0.001,,3,S,False
1.0,0.001,,3,N,False
1.0,0.001,,3,C,False
1.0,0.008071428571428571,,0,H,False
1.0,0.008071428571428571,,0,S,False
1.0,0.008071428571428571,,0,N,False
1.0,0.008071428571428571,,0,C,False
1.0,0.008071428571428571,,1,H,False
1.0,0.008071428571428571,,1,S,False
1.0,0.008071428571428571,,1,N,False
1.0,0.008071428571428571,,1,C,False
1.0,0.008071428571428571,,2,H,False
1.0,0.008071428571428571,,2,S,False
1.0,0.008071428571428571,,2,N,False
1.0,0.008071428571428571,,2,C,False
1.0,0.008071428571428571,,3,H,False
1.0,0.008071428571428571,,3,S,False
1.0,0.008071428571428571,,3,N,False
1.0,0.008071428571428571,,3,C,False
1.0,0.015142857142857142,,0,H,False
1.0,0.015142857142857142,,0,S,False
1.0,0.015142857142857142,,0,N,False
1.0,0.015142857142857142,,0,C,False
1.0,0.015142857142857142,,1,H,False
1.0,0.015142857142857142,,1,S,False
1.0,0.015142857142857142,,1,N,False
1.0,0.015142857142857142,,1,C,False
1.0,0.015142857142857142,50.3361921097774,2,H,False
1.0,0.015142857142857142,33.6043277945162,2,S,False
1.0,0.015142857142857142,0.00272727272727273,2,N,False
1.0,0.015142857142857142,0.00752595413724081,2,C,False
1.0,0.015142857142857142,50.3361921097774,3,H,True
1.0,0.015142857142857142,9.88413151399100,3,S,True
1.0,0.015142857142857142,0.00272727272727273,3,N,True
1.0,0.015142857142857142,0.0358000789206105,3,C,True
1.0,0.022214285714285714,,0,H,False
1.0,0.022214285714285714,,0,S,False
1.0,0.022214285714285714,,0,N,False
1.0,0.022214285714285714,,0,C,False
1.0,0.022214285714285714,,1,H,False
1.0,0.022214285714285714,,1,S,False
1.0,0.022214285714285714,,1,N,False
1.0,0.022214285714285714,,1,C,False
1.0,0.022214285714285714,72.5121309558614,2,H,False
1.0,0.022214285714285714,48.4089343191761,2,S,False
1.0,0.022214285714285714,0.00272727272727273,2,N,False
1.0,0.022214285714285714,0.00752595413724084,2,C,False
1.0,0.022214285714285714,72.5121309558614,3,H,True
1.0,0.022214285714285714,14.2386503366085,3,S,True
1.0,0.022214285714285714,0.00272727272727273,3,N,True
1.0,0.022214285714285714,0.0358000789206103,3,C,True
1.0,0.029285714285714286,,0,H,False
1.0,0.029285714285714286,,0,S,False
1.0,0.029285714285714286,,0,N,False
1.0,0.029285714285714286,,0,C,False
1.0,0.029285714285714286,,1,H,False
1.0,0.029285714285714286,,1,S,False
1.0,0.029285714285714286,,1,N,False
1.0,0.029285714285714286,,1,C,False
1.0,0.029285714285714286,83.9787139689575,2,H,False
1.0,0.029285714285714286,56.0639991563168,2,S,False
1.0,0.029285714285714286,0.00272727272727273,2,N,False
1.0,0.029285714285714286,0.00752595413724083,2,C,False
1.0,0.029285714285714286,83.9787139689575,3,H,True
1.0,0.029285714285714286,16.4902551912301,3,S,True
1.0,0.029285714285714286,0.00272727272727273,3,N,True
1.0,0.029285714285714286,0.0358000789206104,3,C,True
1.0,0.03635714285714286,,0,H,False
1.0,0.03635714285714286,,0,S,False
1.0,0.03635714285714286,,0,N,False
1.0,0.03635714285714286,,0,C,False
1.0,0.03635714285714286,,1,H,False
1.0,0.03635714285714286,,1,S,False
1.0,0.03635714285714286,,1,N,False
1.0,0.03635714285714286,,1,C,False
