para_name,para_value,fp_num,stable,var_name,var_value
\epsilon,1.0,0,False,H,17.1428571428571
\epsilon,1.0,1,True,H,17.1428571428571
\epsilon,1.0,2,False,H,104.929870129870
\epsilon,1.0,3,True,H,104.929870129870
\epsilon,1.013793103448276,0,False,H,16.4334975369458
\epsilon,1.013793103448276,1,True,H,16.4334975369458
\epsilon,1.013793103448276,2,False,H,104.929870129870
\epsilon,1.013793103448276,3,True,H,104.929870129870
\epsilon,1.0275862068965518,0,False,H,15.7241379310345
\epsilon,1.0275862068965518,1,True,H,15.7241379310345
\epsilon,1.0275862068965518,2,False,H,104.929870129870
\epsilon,1.0275862068965518,3,True,H,104.929870129870
\epsilon,1.0413793103448277,0,False,H,15.0147783251232
\epsilon,1.0413793103448277,1,True,H,15.0147783251232
\epsilon,1.0413793103448277,2,False,H,104.929870129870
\epsilon,1.0413793103448277,3,True,H,104.929870129870
\epsilon,1.0551724137931033,0,False,H,14.3054187192118
\epsilon,1.0551724137931033,1,True,H,14.3054187192118
\epsilon,1.0551724137931033,2,False,H,104.929870129870
\epsilon,1.0551724137931033,3,True,H,104.929870129870
\epsilon,1.0689655172413792,0,False,H,13.5960591133005
\epsilon,1.0689655172413792,1,True,H,13.5960591133005
\epsilon,1.0689655172413792,2,False,H,104.929870129870
\epsilon,1.0689655172413792,3,True,H,104.929870129870
\epsilon,1.0827586206896551,0,False,H,12.8866995073892
\epsilon,1.0827586206896551,1,True,H,12.8866995073892
\epsilon,1.0827586206896551,2,False,H,104.929870129870
\epsilon,1.0827586206896551,3,True,H,104.929870129870
\epsilon,1.096551724137931,0,False,H,12.1773399014779
\epsilon,1.096551724137931,1,True,H,12.1773399014779
\epsilon,1.096551724137931,2,False,H,104.929870129870
\epsilon,1.096551724137931,3,True,H,104.929870129870
\epsilon,1.110344827586207,0,False,H,11.4679802955665
\epsilon,1.110344827586207,1,True,H,11.4679802955665
\epsilon,1.110344827586207,2,False,H,104.929870129870
\epsilon,1.110344827586207,3,True,H,104.929870129870
\epsilon,1.1241379310344828,0,False,H,10.7586206896552
\epsilon,1.1241379310344828,1,True,H,10.7586206896552
\epsilon,1.1241379310344828,2,False,H,104.929870129870
\epsilon,1.1241379310344828,3,True,H,104.929870129870
\epsilon,1.1379310344827587,0,False,H,10.0492610837438
\epsilon,1.1379310344827587,1,True,H,10.0492610837438
\epsilon,1.1379310344827587,2,False,H,104.929870129870
\epsilon,1.1379310344827587,3,True,H,104.929870129870
\epsilon,1.1517241379310343,0,False,H,9.33990147783255
\epsilon,1.1517241379310343,1,True,H,9.33990147783255
\epsilon,1.1517241379310343,2,False,H,104.929870129870
